smiles,rt_min
FC1=CC=C(CNC2=NC3=C(C(NC4=NNC(C)=C4)=N2)C=NN3C5CCN(C(CC6CN(C7=CC8=C(C(N(C9C(NC(CC9)=O)=O)C8=O)=O)C=C7)CC6)=O)CC5)C(F)=C1,8.253
FC1=CC=C(CNC2=NC3=C(C(NC4=NNC(C)=C4)=N2)C=NN3C5CCN(C(CC6CN(C7=CC8=C(C(N(C9C(NC(CC9)=O)=O)C8=O)=O)C=C7)C6)=O)CC5)C(F)=C1,8.397
FC1=CC=C(CNC2=NC3=C(C(NC4=NNC(C)=C4)=N2)C=NN3C5CCN(C(CC6CC7(C6)CN(C8=CC9=C(C(N(C%10C(NC(CC%10)=O)=O)C9=O)=O)C=C8)C7)=O)CC5)C(F)=C1,8.545
FC1=CC=C(CNC2=NC3=C(C(NC4=NNC(C)=C4)=N2)C=NN3C5CCN(C(C6=CC=C(C7CCN(C8=CC9=C(C(N(C%10C(NC(CC%10)=O)=O)C9=O)=O)C=C8)CC7)C=C6)=O)CC5)C(F)=C1,8.897
FC1=CC=C(CNC2=NC3=C(C(NC4=NNC(C)=C4)=N2)C=NN3C5CCN(C(C6CCN(C7=CC8=C(C(N(C9C(NC(CC9)=O)=O)C8=O)=O)C=C7)CC6)=O)CC5)C(F)=C1,8.138
FC1=CC=C(CNC2=NC3=C(C(NC4=NNC(C)=C4)=N2)C=NN3C5CCN(C(C6CN(C7=CC8=C(C(N(C9C(NC(CC9)=O)=O)C8=O)=O)C=C7)CC6)=O)CC5)C(F)=C1,8.175
FC1=CC=C(CNC2=NC3=C(C(NC4=NNC(C)=C4)=N2)C=NN3C5CCN(C(C6CN(C7=CC8=C(C(N(C9C(NC(CC9)=O)=O)C8=O)=O)C=C7)C6)=O)CC5)C(F)=C1,7.992
FC1=CC=C(CNC2=NC3=C(C(NC4=NNC(C)=C4)=N2)C=NN3C5CCN(C(C6CC7(CN(C8=CC9=C(C(N(C%10C(NC(CC%10)=O)=O)C9=O)=O)C=C8)C7)C6)=O)CC5)C(F)=C1,8.297
O=C1N(C(CC2)C(N(C)C2=O)=O)C(C3=C1C=CC(N4CCC(C(N5CCC(N6N=CC7=C(NC8=NNC(C)=C8)N=C(NCC9=CC=C(F)C=C9F)N=C76)CC5)=O)CC4)=C3)=O,8.697
FC(C=C1)=C(Cl)C=C1NC2=C(C=C(OCCCN3CCN(C(CCOCCC(N[C@H](C(N4[C@H](C(NCC5=CC=C(C6=C(C)N=CS6)C=C5)=O)C[C@@H](O)C4)=O)C(C)(C)C)=O)=O)CC3)C(OC)=C7)C7=NC=N2,3.77
FC(C=C1)=C(Cl)C=C1NC2=C(C=C(OCCCN3CCN(C(CCOCCOCCOCCC(N[C@@H](C(C)(C)C)C(N4[C@H](C(NCC5=CC=C(C6=C(C)N=CS6)C=C5)=O)C[C@@H](O)C4)=O)=O)=O)CC3)C(OC)=C7)C7=NC=N2,4.89
FC(C=C1)=C(Cl)C=C1NC2=C(C=C(OCCCN3CCN(C(CCOCCOCCOCCOCCOCCC(N[C@@H](C(C)(C)C)C(N4[C@H](C(NCC5=CC=C(C6=C(C)N=CS6)C=C5)=O)C[C@@H](O)C4)=O)=O)=O)CC3)C(OC)=C7)C7=NC=N2,3.81
FC(C=C1)=C(Cl)C=C1NC2=C(C=C(OCCCN3CCN(C(CCC(N[C@@H](C(C)(C)C)C(N4[C@H](C(NCC5=CC=C(C6=C(C)N=CS6)C=C5)=O)C[C@@H](O)C4)=O)=O)=O)CC3)C(OC)=C7)C7=NC=N2,4.99
